sentence,decade
"At thirteen he had passed through all the classes, and as he was destined for the law he left school to study that science.",1890s
“I know it’s the fashion to run down the police.,1890s
"“Well, there it is, you see what you are pitting yourselves against?",1890s
"“On these technical points I bow to your decision,” murmured Mr. Beresford.",1890s
"He carried the box to the window, and became so deeply engrossed in its contents that he did not notice when Dannie picked up his rat bag and told him to come on and help skin their day's catch.",1890s
"I often marvel these days at the immense quantity of potatoes two or three hundred thousand dollars will buy, or bread, or meat, or coal and kindling.” He turned to Ernest.",1890s
“I swear it.” Tuppence raised a trembling left hand to the glass.,1890s
"York here is runnin' a field railway between Bluffton and Celina, so that I can get to the river and the resurvoir to fish without walkin'.",1890s
"It was about thirty foot away from the house, maybe, and I sort of got it into my head that, if I climbed up that tree, I’d very likely be able to see into that room.",1890s
The sharp clang of a passing ambulance at the corner gave him a start.,1890s
"As the body is more firm in an encounter, the more stiffly and obstinately it applies itself to it, so is it with the soul.",1890s
"And to clinch the argument, there were the several Congressmen who testified to having seen Ernest fumble and drop the bomb.",1890s
"With a decent pole either of us can throw across the pool, and both of us can fish as we please.",1890s
"And then, without warning, a mob arose one night, and, under a waving American flag, singing patriotic songs, set fire to the great plant of the _Appeal_ and totally destroyed it.",1890s
When at last I did begin to grasp what was going on--I was just terrified!,1890s
"Do not they very well see that there is neither merchant nor soldier who will not leave his business to run after this sport, or the porter or cobbler, toiled and tired out as they are with labour and hunger?",1890s
"First thing I thought about, soon as the war was over, was to come along and hunt you up.” A shadow passed over the girl’s face.",1890s
"I fancied at first that it was paraffin wax, and smashed the glass accordingly.",1890s
"To add to my wretchedness a splitting headache was coming on, and I was only too glad to close my eyes and try to sleep.",1890s
And following upon it the teamsters’ strike had been broken.,1890s
"We have enough wherewithal to do it, and we ought never to be weary of presenting the image of this great man in all the patterns and forms of perfection.",1890s
"“Non quicquid turbida Roma Elevet, accedas; examenque improbum in illa Castiges trutina: nec to quaesiveris extra.” [“Do not, if turbulent Rome disparage anything, accede; nor correct a false balance by that scale; nor seek anything beyond thyself.” --Persius, Sat., i.",1890s
"[“This plodding occupation of bookes is as painfull as any other, and as great an enemie vnto health, which ought principally to be considered.",1890s
"The letter ended with the offer of a post on a ranch in the Argentine, where Sir James had considerable interests.",1890s
"There were some battered old pictures on the walls, representing scenes from _Faust_.” Jane’s two listeners gave a simultaneous “Ah!” The girl nodded.",1890s
"Do you believe that chestnuts can hurt a Perigordin or a Lucchese, or milk and cheese the mountain people?",1890s
"But they yet produce either effects far beyond our capacity, to which we are so far from being able to arrive by imitation that we cannot so much as by imitation conceive it.",1890s
"Your stomachs are round with the plenitude of eating.” (Here Dr. Ballingford winced, and every eye glanced at his prodigious girth.",1890s
Many other similar disconcerting omissions will be noticed in the Manuscript.,1890s
"The Iron Heel will not be able to prevent it, and in the end caste will destroy the Iron Heel.",1890s
"Tenth month: Reproved by matron for visiting the pictures in company with one of the patients, namely: the aforementioned Lieutenant Thomas Beresford.",1890s
"Let us, at least, whilst we have truce, drive away incommodities and difficulties from our commerce: “Dum licet, obducta solvatur fronte senectus:” [“Whilst we can, let us banish old age from the brow.” --Herod., Ep., xiii.",1890s
"how could we excuse the error they so oft fall into, of taking fox for marten?",1890s
"“I know nothing that I may say can influence you,” he said.",1890s
"“On the other hand,” proceeded Tuppence, “my millionaire would probably run for his life!",1890s
"I believe neither the one nor the other touching the rights of the other party; let reason therefore, which is inflexible and without passion, determine when we can avail ourselves of it.",1890s
Any one may deprive us of life; no one can deprive us of death.,1890s
"“Bring him up, my dear Ivan.” The secretary left the room once more, and returned escorting Julius.",1890s
"In this work, where they met with rocks and mountains, they cut them through, and made them even, and filled up pits and valleys with lime and stone to make them level.",1890s
if we thereby lose the tranquillity and repose we should enjoy without it?,1890s
"He returned them answer, that they should stir nothing from thence, and only take care of themselves, for he was sufficient to look to what belonged to him.",1890s
He was fond of quoting a fragment from a certain poem.,1890s
"That is all.” “Yet the thought of Aristotle ruled Europe for twelve centuries,” Dr. Ballingford announced pompously.",1890s
"Yet I do not easily change, by reason that I discern the same weakness in contrary opinions: “Ipsa consuetudo assentiendi periculosa esse videtur, et lubrica;” [“The very custom of assenting seems to be dangerous and slippery.”--Cicero, Acad., ii.",1890s
"That which is eternal; that is to say, that never had beginning, nor never shall have ending, and to which time can bring no mutation.",1890s
"With Mary's tongue dripping gall, and her sweet face souring, and Jimmy hearing devils, no wonder poor Dannie overheated his team in a race to carry a package that promised to furnish some diversion.",1890s
"Whittington went on: “Been playing with me, have you, all the time, like a cat and mouse?",1890s
"And at the close, just as they were making a movement to rise, Casey proposed that he bring in the coon, and let all of them get a good look at their night's work.",1890s
"But evidently she’s in with them, or she wouldn’t have gone back.” “I can’t believe she’s really one of them, sir.",1890s
"A thin, little, wiry thread of a cry, that seemed to come twisting as if wrung from the chill air about him, whispered in his ear, and Dannie jumped, dropped his load, and ran for the river.",1890s
"“It was some of the blood from that arm that I heard dripping from your roof-beams,” Ernest said with continued gentleness.",1890s
"This it is that obstructs information; for whilst we seek out causes and solid and weighty ends, worthy of so great a name, we lose the true ones; they escape our sight by their littleness.",1890s
"Its voting strength in the United States in 1888 was 2068; in 1902, 127,713; in 1904, 435,040; in 1908, 1,108,427; and in 1910, 1,688,211.",1890s
"Tommy was amply employed, and debarred from joining him in the chase, the girl felt at a loose end.",1890s
"At first my efforts met with a stare of surprise or inextinguishable laughter, but presently a fair-haired little creature seemed to grasp my intention and repeated a name.",1890s
"A true prayer and religious reconciling of ourselves to Almighty God cannot enter into an impure soul, subject at the very time to the dominion of Satan.",1890s
"The affairs, one while of one house, and then of another, tear you to pieces; you pry into everything too near; your perspicacity hurts you here, as well as in other things.",1890s
"""Any dry goods man in town can tell ye,"" said Dannie.",1890s
"After having a long time treated their prisoners very well, and given them all the regales they can think of, he to whom the prisoner belongs, invites a great assembly of his friends.",1890s
"I am afraid our eyes are bigger than our bellies, and that we have more curiosity than capacity; for we grasp at all, but catch nothing but wind.",1890s
"My real need does not so wholly take up all I have, that Fortune has not whereon to fasten her teeth without biting to the quick.",1890s
"I express this fancy as well as I can, by reason that many find it hard to conceive, and the authors themselves represent it a little variously and obscurely.",1890s
"A soldier called Scaeva, who commanded at one of the avenues, invincibly maintained his ground, having lost an eye, with one shoulder and one thigh shot through, and his shield hit in two hundred and thirty places.",1890s
"England was destined shortly to lose India, while behind that event loomed the struggle between a united Asia and the world.",1890s
"that is the most useful knowledge: “according to what a man can,” was the favourite sentence and motto of Socrates.",1890s
"The prison room with the crooked pictures, the broken jug in the attic, the meeting room with its long table.",1890s
"If I were to give in detail the story of the two years' work required to secure the set of bird studies illustrating 'The Cardinal,' it would make a much larger book than the life of the bird.""",1890s
"Indeed, I found afterwards that horses, cattle, sheep, dogs, had followed the Ichthyosaurus into extinction.",1890s
In the morning there was the getting of the Time Machine.,1890s
"""If he's dead, you know, it will save you being hanged for killing him.",1890s
"Here and there among the greenery were palace-like buildings, but the house and the cottage, which form such characteristic features of our own English landscape, had disappeared.",1890s
I can’t stand your coming here and talking about ‘little Tuppence.’ Go and look after your cousin.,1890s
I should hardly be of that humour who hold health to be worth purchasing by all the most painful cauteries and incisions that can be applied.,1890s
A pleasurable thrill of excitement made Tuppence tingle.,1890s
"At the trial, and still with honest belief, several testified to having seen Ernest prepare to throw the bomb, and that it exploded prematurely.",1890s
"“And _I_‘ll look after _you_,” retorted Tuppence, resenting the manly assertion.",1890s
"‘Tis for custom to give a form to a man’s life, such as it pleases him; she is all in all in that: ‘tis the potion of Circe, that varies our nature as she best pleases.",1890s
"Like ghosts the agents came and went, obeying commands, fulfilling duties, following clews, making their reports often to officers they never saw or cooperating with other agents they had never seen before and would never see again.",1890s
"As to the manner of my fall, that was concealed from me in favour to him who had been the occasion, and other flim-flams were invented.",1890s
"He ripped[6] out a savage oath, and clenched his fist as though about to strike me.",1890s
"With regret I remounted next morning, for with business finished in this direction, I was resolved to push on to the Glenelg, as I wished to see through Victoria westwards while I had the opportunity.",1900s
"Crampton makes an inarticulate sound in the mouthpiece and tries to lay hands on Valentine, whom he supposes to be in front of him.",1900s
"—No, no, said Stephen, smiling, I mean...— —Yes, yes; I see, said the dean quickly, I quite catch the point: _detain_.",1900s
"He sprang from the bed, the reeking odour pouring down his throat, clogging and revolting his entrails.",1900s
Instead the vital wave had carried him on its bosom out of himself and back again when it receded: and no part of body or soul had been maimed but a dark peace had been established between them.,1900s
"The White Hills were so-called from a large ejection, piled up in white mounds of a light-coloured thick bed of the auriferous drifts, in which unprecedented quantities of gold had been found.",1900s
"It had scooped out a course throughout, almost warranting the title of a gully, and at Townend's corner we needed a good long plank by way of a bridge.",1900s
"If you will excuse my putting in a word, sir, do not let a matter of five shillings stand between you and your happiness, sir.",1900s
"The young man was leaning against the mantelshelf, watching him with that strange expression that one sees on the faces of those who are absorbed in a play when some great artist is acting.",1900s
"(He comes back, puts Valentine's stick carefully down against the luncheon table; and delicately shakes the coat out and holds it for Crampton to put on.)",1900s
I-- WAITER (presenting himself between Philip and McComas).,1900s
"But in spite of all care we soon lost the road, and wandered about in the pouring rain for the rest of the night.",1900s
"Mr Dedalus lingered in the hall gazing about him and up at the roof and telling Stephen, who urged him to come out, that they were standing in the house of commons of the old Irish parliament.",1900s
"Rain was falling on the chapel, on the garden, on the college.",1900s
"His activity in revivals was great, and he proved himself an instrument in the hands of the church in converting many souls.",1900s
"He is about fifty, clean shaven, and close-cropped, with the corners of his mouth turned down purposely, as if he suspected them of wanting to turn up, and was determined not to let them have their way.",1900s
"—She too wants me to catch hold of her, he thought.",1900s
You shall see the thing that you fancy only God can see.” Hallward started back.,1900s
"He wandered up and down the dark slimy streets peering into the gloom of lanes and doorways, listening eagerly for any sound.",1900s
"In a second he heard the click of a revolver, and saw the gleam of a polished barrel, pointing straight at his head, and the dusky form of a short, thick-set man facing him.",1900s
In one of his songs he speaks of the billiard sharp who is condemned to play: On a cloth untrue With a twisted cue And elliptical billiard balls.,1900s
(He brings the stool from the bench in the corner; places it between them; and sits down with a judicial air.,1900s
It was like a train going in and out of tunnels and that was like the noise of the boys eating in the refectory when you opened and closed the flaps of the ears.,1900s
It has destroyed me.” “I don’t believe it is my picture.” “Can’t you see your ideal in it?” said Dorian bitterly.,1900s
"It has been a most interesting afternoon.” As the door closed behind them, the painter flung himself down on a sofa, and a look of pain came into his face.",1900s
—So we must distinguish between elliptical and ellipsoidal.,1900s
The evening air was pale and chilly and after every charge and thud of the footballers the greasy leather orb flew like a heavy bird through the grey light.,1900s
"A vision of their life, which his father’s words had been powerless to evoke, sprang up before him out of the word cut in the desk.",1900s
Why should it keep what I must lose?,1900s
"Both were strong Orangemen--a feeling, however, for which this colonial ground was not favourable.",1900s
The rain did follow at night to the full as predicted.,1900s
"The heavy cart-horses slipped and stamped upon the rough stones, shaking their bells and trappings.",1900s
"Consequently all the earlier missions were abandoned in utter despair, with only one exception, that of the Moravians, which, in faith and duty continuing the work, was at length rewarded with success.",1900s
"Good artists exist simply in what they make, and consequently are perfectly uninteresting in what they are.",1900s
What a pity it was that such beauty was destined to fade!,1900s
"All through his boyhood he had mused upon that which he had so often thought to be his destiny and when the moment had come for him to obey the call he had turned aside, obeying a wayward instinct.",1900s
"(Valentine's face lights up with sudden joy, dread, and mischief.",1900s
"don’t you see a man moving behind the trees there, watching me, waiting for me?” Lord Henry looked in the direction in which the trembling gloved hand was pointing.",1900s
I was quite disappointed at the general appearance of things in New Bedford.,1900s
"I fear Kerr was wrong, and that scrutiny should have been applied for after declaration.",1900s
"Why, once ... Oh, I can’t bear to think of it!",1900s
"(She seats herself with a vault on the front edge of the table, panting.)",1900s
"—It amuses me vastly, he said, to hear you quoting him time after time like a jolly round friar.",1900s
It often happened that when we thought we were experimenting on others we were really experimenting on ourselves.,1900s
"When the order list had been booked the two would go on to the park where an old friend of Stephen’s father, Mike Flynn, would be found seated on a bench, waiting for them.",1900s
"I am sorry my mother is not here to receive you, Mr. Valentine.",1900s
VALENTINE (with a new and startling transition to a tone of utter recklessness).,1900s
We shall try to understand them fully during these few days so that we may derive from the understanding of them a lasting benefit to our souls.,1900s
"—A girl got into a hansom a few days ago, he went on, in London.",1900s
She thinks she will; but-- DOLLY (interrupting him).,1900s
"The water would rise inch by inch, covering the grass and shrubs, covering the trees and houses, covering the monuments and the mountain tops.",1900s
"Beyond was the trackless bush, excepting the bush tracks to Sydney, and in the Flemington and Keilor direction.",1900s
You would lose your way in the labyrinth.” “You bewilder me.,1900s
"He was a gentleman, and he hated him for that, hated him through some curious race-instinct for which he could not account, and which for that reason was all the more dominant within him.",1900s
"There were holly and ivy round the pierglass and holly and ivy, green and red, twined round the chandeliers.",1900s
"As we were sitting together, suddenly there came into her eyes a look that I had never seen there before.",1900s
"It was very low at first, with deep mellow notes that seemed to fall singly upon one’s ear.",1900s
Struggling and kicking under the cuts of the cane and the blows of the knotty stump Stephen was borne back against a barbed wire fence.,1900s
"To live, to err, to fall, to triumph, to recreate life out of life!",1900s
"It's very kind of you-- very ladylike and affable indeed, ma'am; but I should feel at a great disadvantage off my own proper footing.",1900s
—That was a good answer our friend made to the canon.,1900s
"In writing to a dear friend, immediately after my arrival at New York, I said I felt like one who had escaped a den of hungry lions.",1900s
"God had allowed him to see the hell reserved for his sins: stinking, bestial, malignant, a hell of lecherous goatish fiends.",1900s
"That was a long time ago then out on the playgrounds in the evening light, creeping from point to point on the fringe of his line, a heavy bird flying low through the grey light.",1900s
He had nearly swooned at what Lord Henry had said in a chance mood of cynical jesting.,1900s
"The air was heavy with the perfume of the flowers, and their beauty seemed to bring him an anodyne for his pain.",1900s
"My first cousin, Fonsy Davin, was stripped to his buff that day minding cool for the Limericks but he was up with the forwards half the time and shouting like mad.",1900s
"Only the morning pained him with its dim memory of dark orgiastic riot, its keen and humiliating sense of transgression.",1900s
"With an evening coat and a white tie, as you told me once, anybody, even a stock-broker, can gain a reputation for being civilized.",1900s
Have you ever studied the subject of gunnery--artillery--cannons and war-ships and so on?,1900s
"Thrust it out of men’s sight into a long hole in the ground, into the grave, to rot, to feed the mass of its creeping worms and to be devoured by scuttling plump-bellied rats.",1900s
"(He stops on the point of putting his arms into the sleeves, and turns to Valentine with sudden suspicion.)",1900s
"—Because, Cranly continued, you need not look upon yourself as driven away if you do not wish to go or as a heretic or an outlaw.",1900s
I am afraid it is right at the top of the house.,1900s
"—Katey, fill out the place for Stephen to wash. —Boody, fill out the place for Stephen to wash. —I can’t, I’m going for blue.",1900s
"(He goes out, meeting the waiter; who holds the door for him to pass through.)",1900s
But the pressure of her fingers had been lighter and steadier: and suddenly the memory of their touch traversed his brain and body like an invisible wave.,1900s
Behind a hedge of laurel a light glimmered in the window of a kitchen and the voice of a servant was heard singing as she sharpened knives.,1900s
Without waiting for his father’s questions he ran across the road and began to walk at breakneck speed down the hill.,1900s
"I could regard them in no other light than a band of successful robbers, who had left their homes, and gone to Africa, and stolen us from our homes, and in a strange land reduced us to slavery.",1900s
Form and colour tell us of form and colour—that is all.,1900s
"Then Dorian looked at Lord Henry and said, with a heavy sigh, “It is a bad omen, Harry, a very bad omen.” “What is?” asked Lord Henry.",1900s
"""Why lose so much revenue in order to set up colonial brandy-making?""",1900s
Did he then love the rhythmic rise and fall of words better than their associations of legend and colour?,1900s
"Before he heard again the footboard of the housedoor trail over the threshold as it opened to let him in, before he saw again the table in the kitchen set for supper he would have knelt and confessed.",1900s
"I could do but little; but what I could, I did with a joyful heart, and never felt happier than when in an anti-slavery meeting.",1900s
"Not to fall was too hard, too hard; and he felt the silent lapse of his soul, as it would be at some instant to come, falling, falling, but not yet fallen, still unfallen, but about to fall.",1900s
He felt that if he brooded on what he had gone through he would sicken or grow mad.,1900s
Was the face on the canvas viler than before?,1900s
The sunset had smitten into scarlet gold the upper windows of the houses opposite.,1900s
The pot of pink enamel paint gave out and the wainscot of his bedroom remained with its unfinished and illplastered coat.,1900s
It was the busy as well as civilized race that scamped the words.,1900s
"When I get there, I shall not be required to have a pass; I can travel without being disturbed.",1900s
"The children were then called, like so many pigs, and like so many pigs they would come and devour the mush; some with oyster-shells, others with pieces of shingle, some with naked hands, and none with spoons.",1900s
"But while he has been waiting these many years, he has seen such vast improvement in inter-communication facilities of every kind, as to establish, he might say, a complete counterbalance to the increasing infirmities of years.",1900s
VALENTINE (returning to the end of the garden seat to confront her more emphatically).,1900s
"We were guided latterly by a well-beaten native track, for this seemed a favourite walk of the aborigines.",1900s
"In estimating the future of these two great colonies and their respective capitals, I will endeavour to mark some distinctive considerations.",1900s
It was cold and dark under the seawall beside his father’s house.,1900s
The paints I used had some wretched mineral poison in them.,1900s
"On the other hand, Mrs. Clandon, your husband had a great horror of anything getting into the papers.",1900s
They ultimately found her lying dead on the floor of her dressing-room.,1900s
"When he stepped out on to the grass, he drew a deep breath.",1900s
"I know there are dreadful places in Paris, but Basil was not the sort of man to have gone to them.",1900s
"They stimulate him to greater watchfulness, and enhance his power to capture his slave.",1900s
You cannot know where that wretched habit will lead you or where it will come against you.,1900s
"Will you excuse these barbarian children of mine, Mr. Valentine?",1900s
"This small side-track to the left looks as though a hut at least were nearer, and so I diverged into it.",1900s
"In the afternoon of the day when I reached New Bedford, I visited the wharves, to take a view of the shipping.",1900s
The clouds were drifting above him silently and silently the seatangle was drifting below him and the grey warm air was still and a new wild life was singing in his veins.,1900s
"I like it; but there is no hymn that can be put beside that mournful and majestic processional song, the _Vexilla Regis_ of Venantius Fortunatus.",1900s
"We were friends once, Alan.” “Don’t speak about those days, Dorian—they are dead.” “The dead linger sometimes.",1900s
He drank another cup of hot tea and Fleming said: —What’s up?,1900s
"We can have in life but one great experience at best, and the secret of life is to reproduce that experience as often as possible.” “Even when one has been wounded by it, Harry?” asked the duchess after a pause.",1900s
"If you've been here six weeks, and mine was your first tooth, the practice can't be very large, can it?",1900s
A group of his brothers and sisters was sitting round the table.,1900s
The light broke in upon me by degrees.,1900s
A waiter was running up a trail of bunting on the flagstaff and a fox terrier was scampering to and fro on the sunny lawn.,1900s
"Dash on, dash on!” This being his mode of attack, it was never safe to stop a single minute.",1900s
"My first trip to the interior was, towards the end of 1841, to the sheep station of my old friend Sam Jackson, situated on the Deep Creek, seventeen miles northward from Melbourne.",1900s
"Fearing to lose all, he raised himself suddenly on his elbow to look for paper and pencil.",1900s
"Basil, I can’t allow you to smoke cigars.",1900s
There was a fire there but the hall was still dark.,1900s
"Indeed, I can see no reason, but the most deceitful one, for calling the religion of this land Christianity.",1900s
"I was ever on the look-out for means of escape; and, finding no direct means, I determined to try to hire my time, with a view of getting money with which to make my escape.",1900s
"The operating chair, with a gas pump and cylinder beside it, is half way between the centre of the room and one of the corners.",1900s
“Two months ago I went to a crush at Lady Brandon’s.,1900s
"I have seen Winder make one of the house-servants stand off from him a suitable distance to be touched with the end of his whip, and at every stroke raise great ridges upon his back.",1900s
"Crampton looks about him, waiting for them to begin.",1900s
"I watched the tiny stream till it filled up this hole, and then saw it duly into the next, only a couple of hundred yards off.",1900s
I don’t suppose I shall ever see this horrid London again.,1900s
And what was their shimmer but the shimmer of the scum that mantled the cesspool of the court of a slobbering Stuart.,1900s
"How they will rage and fume to think that they have lost the bliss of heaven for the dross of earth, for a few pieces of metal, for vain honours, for bodily comforts, for a tingling of the nerves.",1900s
"But if a woman cannot protect herself, no one can protect her.",1900s
"Even though the pains of hell were not so terrible as they are, yet they would become infinite, as they are destined to last for ever.",1900s
VALENTINE (brightening up as it flashes on him that he is master of the situation after all).,1900s
He seemed to take pleasure in manifesting his fiendish barbarity.,1900s
I saved him from an excruciating pang; and he reviles me!,1900s
This failure was occasioned by my attending a camp meeting about ten miles from Baltimore.,1900s
"In business, in public speaking and debating, and in public life in general, he took successfully a first part; but when he had to condescend to such schooling products as writing and spelling, he made confessedly only a bad second.",1900s
"But the clearing of the ground had left room for other and better accoutred rivals, and ""The Age"" arose to enter the lists with ""The Argus"".",1900s
"25 CORNHILL 1845 ENTERED, ACCORDING TO ACT OF CONGRESS, IN THE YEAR 1845 BY FREDERICK DOUGLASS, IN THE CLERK’S OFFICE OF THE DISTRICT COURT OF MASSACHUSETTS.",1900s
And they would carry the coffin out of the chapel slowly and he would be buried in the little graveyard of the community off the main avenue of limes.,1900s
"Disheartened, he raised his eyes towards the slowdrifting clouds, dappled and seaborne.",1900s
"Just as I did that, one of their number gave me, with his heavy boot, a powerful kick in the left eye.",1900s
The rotting of a corpse in a watery grave was not so fearful.,1900s
A remembrance of some of his lines made a sudden flush rise to his painted cheeks.,1900s
"I seldom had much to say at the meetings, because what I wanted to say was said so much better by others.",1900s
Mr Dedalus screwed his glass into his eye and stared hard at both his sons.,1900s
You cannot discuss this question with your mouth full of chewed fig.,1900s
"There were passions in him that would find their terrible outlet, dreams that would make the shadow of their evil real.",1900s
"One can use them in fiction, of course.",1900s
But the thing that had been sitting at the table was gone.,1900s
Does he forget to pull off his hat at the approach of a white person?,1900s
"Her white hands were moving daintily among the cups, and her full red lips were smiling at something that Dorian had whispered to her.",1900s
"But Fawkner's bite was too deep for any laissez faire cure, and so, nolens volens, the Commissioner had to defend or retrieve his character.",1900s
"An old woman was about to cross the street, an oilcan in her hand.",1900s
"Her eyes seemed to regard him with mild pity; her holiness, a strange light glowing faintly upon her frail flesh, did not humiliate the sinner who approached her.",1900s
"If you lived in London, where the whole system is one of false good-fellowship, and you may know a man for twenty years without finding out that he hates you like poison, you would soon have your eyes opened.",1900s
"I think that would be a rather nice excuse: it would have all the surprise of candour.” “It is such a bore putting on one’s dress-clothes,” muttered Hallward.",1900s
VALENTINE (making a wry face in spite of himself).,1900s
"The unjust He casts from Him, crying in His offended majesty: _Depart from me, ye cursed, into everlasting fire which was prepared for the devil and his angels._ O, what agony then for the miserable sinners!",1900s
"(He rises with an air of finality, and replaces the stool by the bench.)",1900s
"Beg pardon, ma'am; but can you tell me what became of that-- (He recognizes Bohun, and loses all his self-possession.",1900s
Mr. Valentine: you are a most dangerous man.,1900s
Carry it out of the house on the shoulders of hirelings.,1900s
"If another gentleman comes, shew him in without any delay: we are expecting him.",1900s
(Valentine strolls up to the luncheon table and looks at the menu.,1900s
"I see that Basil is in one of his sulky moods, and I can’t bear him when he sulks.",1900s
"Covey said, “Take hold of him, take hold of him!” Bill said his master hired him out to work, and not to help to whip me; so he left Covey and myself to fight our own battle out.",1900s
"He could not grip the floor with his feet and sat heavily at his desk, opening one of his books at random and poring over it.",1900s
"His fellow student’s rude humour ran like a gust through the cloister of Stephen’s mind, shaking into gay life limp priestly vestments that hung upon the walls, setting them to sway and caper in a sabbath of misrule.",1900s
"At the sound of this, all must rise, and be off to the field.",1900s
"His father was standing before the dressingtable, examining his hair and face and moustache with great care, craning his neck across the waterjug and drawing it back sideways to see the better.",1900s
"I recollect the sale by auction at that time of a vacant half-acre allotment in central Collins-street, next to that on which Mr. George James, wine merchant, had very early erected his surpassing brick office and dwelling.",1900s
"The thing was still loathsome—more loathsome, if possible, than before—and the scarlet dew that spotted the hand seemed brighter, and more like blood newly spilled.",1900s
He told himself calmly that those words had absolutely no sense which had seemed to rise murmurously from the dark.,1900s
"For it was an unjust mirror, this mirror of his soul that he was looking at.",1900s
"The ducal hat of Charles the Rash, the last Duke of Burgundy of his race, was hung with pear-shaped pearls and studded with sapphires.",1900s
The rector looked at him in silence and he could feel the blood rising to his face and the tears about to rise to his eyes.,1900s
"Solitude and quiet reigned around us, excepting the enchanting ""ting ting"" of the bell bird.",1900s
"A remarkable illustration of aboriginal tenacity, which, however, I am quoting only from memory, occurred in South Australia.",1900s
"Yes: that blind, slow-breathing thing crawled no more, and horrible thoughts, time being dead, raced nimbly on in front, and dragged a hideous future from its grave, and showed it to him.",1900s
"It was a tawdry affair, all Cupids and cornucopias, like a third-rate wedding-cake.",1900s
"His hand shook, and the candle fell from its socket on the floor and lay there sputtering.",1900s
Were his own actions merely the dreams that the dead man had not dared to realize?,1900s
"If he is dead, I don’t want to think about him.",1900s
"(Valentine, looking very glum, glances sceptically at her, and says nothing.",1900s
"The only other indigenous feature of this somewhat featureless Beach which I recollect was a little virulently salt lagoon, situated in complete isolation near the Bay, and only some hundred yards on the right-hand side of the track to Melbourne.",1900s
"Come, Mrs. Clandon: you can't quarrel with a mere butterfly like me.",1900s
"Beneath its purple pall, the face painted on the canvas could grow bestial, sodden, and unclean.",1900s
"“Stop and dine with me.” “I can’t, Basil.” “Why?” “Because I have promised Lord Henry Wotton to go with him.” “He won’t like you the better for keeping your promises.",1900s
"Excepting the partial post-and-rail barricade of my friend William Robertson's 5,000 acres of purchased land, there was nothing all around but free and open squatting.",1900s
"Bearded workmen with pious faces were guiding a canopy out through a side door, the sacristan aiding them with quiet gestures and words.",1900s
"—Damn me, said Mr Dedalus frankly, if I know how you can smoke such villainous awful tobacco.",1900s
"In her dealings with man, destiny never closed her accounts.",1900s
"We were told of one country hotel called ""The Porcupine,"" whose keeper was making 40,000 pounds a year of net profit.",1900s
There was an instant of dead silence and then the loud crack of a pandybat on the last desk.,1900s
The grass of the forest had been spotted with blood.,1900s
"He could stand up, put one foot before the other and walk out softly and then run, run, run swiftly through the dark streets.",1900s
"I understand he took you into a wood to protect you from that fight, and generally protected you from all, kinds of trouble.",1910s
"Something seemed to be hovering over me, rousing me, exciting me, and making me restless.",1910s
To Albert fell the task of collecting information.,1910s
It seemed a pity that her infirmity should be talked about--might damage her prospects.,1910s
"But what interested Tommy was the thing he had hoped to find, a communicating door between the two rooms, up on the left by the window.",1910s
Outside another stray couple had come up and were experimenting on the piano in the next room.,1910s
"Can't I get your jacket for you, Miss Black? """,1910s
But that young Coke is a regular ruffian.,1910s
"Where are the Greek merchants that came through the pillars of Hercules, the Gibraltar now grabbed by the foe of mankind, with gold and Tyrian purple to sell in Wexford at the fair of Carmen?",1910s
"In fact, in the end it seemed vulgar to me myself, and I began putting out my tongue at myself.",1910s
Suddenly I felt a box of matches and a candlestick with a whole candle in it.,1910s
I can take you in my carriage as far as the beginning of the railroad.,1910s
"Ah, I should like to meet him--Mr. Brown.” There was a steely ring in Whittington’s voice as he replied: “Who knows?",1910s
"Julius nodded, and continued: “‘How did it happen?’ I asked again.",1910s
"What reflection concerning the irregular sequence of dates 1884, 1885, 1886, 1888, 1892, 1893, 1904 did Bloom make before their arrival at their destination?",1910s
"Besides, with love one can live even without happiness.",1910s
"Evidence suggests that the 1960 reprint has been somewhat “modernized”, and that the undated reprint is a better match for the original 1920 printing.",1910s
It was a fight to a finish and the best man for it.,1910s
The train was just starting as he swung himself aboard.,1910s
"and dout the light whereby you read in the Sacred Book for the oil too has run low, and so with a tranquil heart to bed, to rest.",1910s
"I gave you just one chance of saving your dirty skin, and that you wouldn’t take!” “They would kill me!” “Well,” said Julius pleasantly, “it’s up to you.",1910s
"While if you stick to consciousness, even though the same result is attained, you can at least flog yourself at times, and that will, at any rate, liven you up.",1910s
"“What are you going to do, Amory?” “Infantry or aviation, I can’t make up my mind—I hate mechanics, but then of course aviation’s the thing for me—” “I feel as Amory does,” said Tom.",1910s
"But my point was... —We are a long time waiting for that day, citizen, says Ned.",1910s
"The coffin lay on its bier before the chancel, four tall yellow candles at its corners.",1910s
"I’m not proposing to kill you this trip--that is, if you’re reasonable.” The Russian quailed before the stern menace in the other’s eyes.",1910s
"_Always, always_ run the stick in viciously first—_never_ look first!” “Of course, that’s the ancient Celtic school,” said Tom gravely.",1910s
"All barriers went down with a crash, and Tommy and Tuppence felt they had known the young American all their lives.",1910s
"—We are going the pace, I think, Martin Cunningham said.",1910s
It is only Cupid's finished product that spits like a cat.,1910s
"I'm not in the habit of conducting such enquiries.""",1910s
"Buck Mulligan gleefully bent back, laughing to the dark eavesdropping ceiling.",1910s
Coke spun suddenly and said something to Nora Black.,1910s
Smart girls writing something catch the eye at once.,1910s
